Company,Title,Disc,Link
betterplace.org,Senior back end engineer (Ruby on Rails) m/w/d,"Ready to change the world with your code? We at betterplace.org are looking for a Senior Backend Engineer (Ruby on Rails) who’s ready to make impact!  What to expect: Work with a modern stack: Ruby on Rails, PostgreSQL, GraphQL, React.js, Google Cloud, and more! Bring your ideas to life in a meaningful product that supports...",https://berlinstartupjobs.com/companies/betterplace-org/
AristanderAI,Machine Learning Engineer,"About Us AristanderAI is changing the way price optimization works across the airline and short-term rental industries.  We use machine learning to more accurately predict demand and adjust prices accordingly.  Not familiar with price optimization? That’s okay, we’re looking for hungry + foolish engineers with strong ML fundamentals.  If the idea of taking any process...",https://berlinstartupjobs.com/companies/aristanderai/
GlassFlow,Lead Frontend Engineer,About GlassFlow GlassFlow is building a hands-free data streaming infrastructure for modern data teams. We are an early-stage VC-backed startup from Berlin that is building a category-defining infrastructure product from the ground up. GlassFlow will enable millions of data engineers across the world to get value out of their real time events data without the...,https://berlinstartupjobs.com/companies/glassflow/
Contentful,Frontend Engineer (Contract),"Summary We are looking for an experienced frontend engineer to help us develop a set of demo websites, productivity apps and third-party integrations. Working with the Contentful demo team, you will help turn designs into design system tokens, components, and final digital experiences. In addition to traditional frontend work, you’ll get a chance to work...",https://berlinstartupjobs.com/companies/contentful/
CALIMA,Full Stack Software Developer (m/w/d),"Über uns: Wir sind ein aufstrebendes Tech-Startup, das sich der Verbesserung der Arbeitssicherheit durch digitale und innovative Lösungen verschrieben hat. Unser Ziel ist es, nutzerfreundliche und effektive Tools für Arbeitssicherheit bei Unternehmen in verschiedenen Branchen im DACH-Raum (und perspektivisch in ganz Europa) zu implementieren. Unsere Unternehmenskultur ist geprägt von Neugierde, Ehrlichkeit, Qualität, Innovation und Professionalität....",https://berlinstartupjobs.com/companies/calima/
Mein Grundeinkommen e.V.,Backend Developer*in,"Mein Grundeinkommen e.V. sucht zum nächstmöglichen Zeitpunkt eine*n Backend Developer*in in Berlin mit 32 Wochenstunden. Was passiert mit unserer Gesellschaft, wenn Menschen keine Existenzängste mehr haben müssen? Seit 2014 sammeln wir per Crowdfunding Spenden und zahlen dieses Geld als Bedingungsloses Grundeinkommen aus. So machen wir Grundeinkommen erlebbar und erforschen, wie es in der Praxis wirkt....",https://berlinstartupjobs.com/companies/mein-grundeinkommen-e-v/
Mein Grundeinkommen e.V.,Backend Developer*in (Schwerpunkt DevOps),"Mein Grundeinkommen e.V. sucht zum nächstmöglichen Zeitpunkt eine*n Backend Developer*in mit Schwerpunkt DevOps in Berlin mit 32 Wochenstunden. Was passiert mit unserer Gesellschaft, wenn Menschen keine Existenzängste mehr haben müssen? Seit 2014 sammeln wir per Crowdfunding Spenden und zahlen dieses Geld als Bedingungsloses Grundeinkommen aus. So machen wir Grundeinkommen erlebbar und erforschen, wie es in...",https://berlinstartupjobs.com/companies/mein-grundeinkommen-e-v/
cloudsquid,Founding Engineer,"We’re looking for a Founding Engineer to join our team in Berlin full-time and in person. You will work on hard and interesting challenges around our AI data pipeline product which include AI observability & explainability, bulding event-based realtime architectures and massively scaling our data processing pipelines. Join our mission of unlocking the value of...",https://berlinstartupjobs.com/companies/cloudsquid/
Ecosia,Principal Engineer – Security (SRE/Platform),"We are looking for a hands-on (Senior to Principal level) Platform Engineer to join our Platform team with expertise in Security, Site Reliability, and Developer Experience. In this high-autonomy role, you’ll work on both big-picture concepts and hands-on tasks daily. For example, from shaping the team’s technical vision & strategy to troubleshooting CORS headers in development environments in an...",https://berlinstartupjobs.com/companies/ecosia/
Softwaregini,Senior Fullstack Web Engineer (m/f/d),"Join Softwaregini, a fast-growing and well-funded B2B SaaS disruptor revolutionizing how companies select and manage their software portfolios. Tasks As a Fullstack Web Engineer, you’ll work directly with our CTO, David, to develop robust systems and user interfaces driving our business forward. Collaborate closely with our team to understand business requirements and translate them into...",https://berlinstartupjobs.com/companies/softwaregini/
